participantID,trialNumber,response,correctness,startTimestamp,endTimestamp,reactionTime,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
1,94,right,True,2024-06-24 11:22:37.980,2024-06-24 11:22:41.543,3.563,74,right,12000,24000,VH
1,95,right,False,2024-06-24 11:23:03.646,2024-06-24 11:23:08.643,4.997,14,left,12000,24000,VH
1,96,right,True,2024-06-24 11:23:30.745,2024-06-24 11:23:34.910,4.165,64,right,12000,24000,VH
2,1,right,True,2024-06-24 13:20:24.731,2024-06-24 13:20:47.445,22.714,24,right,12000,24000,V
2,2,right,False,2024-06-24 13:21:09.514,2024-06-24 13:21:33.678,24.164,44,left,12000,24000,V
2,3,right,False,2024-06-24 13:21:55.746,2024-06-24 13:22:08.578,12.832,14,left,12000,24000,V
2,4,right,True,2024-06-24 13:22:30.649,2024-06-24 13:22:51.727,21.078,48,right,12000,24000,V
2,5,left,True,2024-06-24 13:23:13.799,2024-06-24 13:23:40.410,26.611,38,left,12000,24000,V
2,6,left,True,2024-06-24 13:24:02.480,2024-06-24 13:24:31.344,28.864,70,left,12000,24000,V
2,7,left,False,2024-06-24 13:24:53.415,2024-06-24 13:25:19.911,26.496,66,right,12000,24000,V
2,8,right,True,2024-06-24 13:25:41.984,2024-06-24 13:26:08.144,26.16,26,right,12000,24000,V
2,9,left,True,2024-06-24 13:26:30.214,2024-06-24 13:26:56.027,25.813,92,left,12000,24000,V
2,10,left,False,2024-06-24 13:27:18.097,2024-06-24 13:27:42.078,23.981,56,right,12000,24000,V
2,11,left,False,2024-06-24 13:28:04.150,2024-06-24 13:28:30.211,26.061,80,right,12000,24000,V
2,12,right,False,2024-06-24 13:28:52.281,2024-06-24 13:29:14.911,22.63,12,left,12000,24000,V
2,13,right,True,2024-06-24 13:29:36.998,2024-06-24 13:29:58.678,21.68,15,right,12000,24000,VH
2,14,left,False,2024-06-24 13:30:20.766,2024-06-24 13:30:42.545,21.779,25,right,12000,24000,VH
2,15,right,False,2024-06-24 13:31:04.633,2024-06-24 13:31:29.578,24.945,19,left,12000,24000,VH
2,16,left,False,2024-06-24 13:31:51.664,2024-06-24 13:32:15.445,23.781,67,right,12000,24000,VH
2,17,right,True,2024-06-24 13:32:37.533,2024-06-24 13:33:02.379,24.846,81,right,12000,24000,VH
2,18,left,True,2024-06-24 13:33:24.466,2024-06-24 13:33:48.229,23.763,37,left,12000,24000,VH
2,19,left,False,2024-06-24 13:34:10.315,2024-06-24 13:34:34.195,23.88,43,right,12000,24000,VH
2,20,right,False,2024-06-24 13:34:56.281,2024-06-24 13:35:17.995,21.714,85,left,12000,24000,VH
2,21,left,False,2024-06-24 13:35:40.082,2024-06-24 13:35:57.795,17.713,45,right,12000,24000,VH
2,22,right,False,2024-06-24 13:36:19.881,2024-06-24 13:36:45.128,25.247,73,left,12000,24000,VH
2,23,left,True,2024-06-24 13:37:07.216,2024-06-24 13:37:30.012,22.796,39,left,12000,24000,VH
2,24,left,False,2024-06-24 13:37:52.100,2024-06-24 13:38:11.162,19.062,27,right,12000,24000,VH
2,25,right,False,2024-06-24 13:47:56.002,2024-06-24 13:48:19.442,23.44,30,left,12000,24000,V
2,26,left,True,2024-06-24 13:48:41.513,2024-06-24 13:49:02.208,20.695,76,left,12000,24000,V
2,27,right,True,2024-06-24 13:49:24.281,2024-06-24 13:49:46.742,22.461,34,right,12000,24000,V
2,28,left,True,2024-06-24 13:50:08.813,2024-06-24 13:50:29.625,20.812,82,left,12000,24000,V
2,29,right,True,2024-06-24 13:50:51.680,2024-06-24 13:51:12.642,20.962,78,right,12000,24000,V
2,30,right,True,2024-06-24 13:51:34.711,2024-06-24 13:51:55.759,21.048,58,right,12000,24000,V
2,31,right,False,2024-06-24 13:52:17.814,2024-06-24 13:52:42.092,24.278,32,left,12000,24000,V
